description,symbol
GPF PHYSICAL PLATINUM ETC,0IIC.DE
SHW AG,SW1.DE
CYTOTOOLS AG,T5O.DE
LIMES SCHLOSSKLINIKEN AG,LIK.DE
VIACOMCBS INC - CLASS B,0VVB.DE
DEUTSCHE BOERSE AG,DB1.DE
JUMIA TECHNOLOGIES AG-ADR,4JMA.DE
COLONY CAPITAL INC,6CL.DE
CVS HEALTH CORP,CVS.DE
HASBRO INC,HAS.DE
BRENNTAG SE,BNR.DE
BAADER BANK AG,BWB.DE
LOCKHEED MARTIN CORP,LOM.DE
GPF PHYSICAL SILVER ETC,0IIB.DE
WT BUND 30Y 3X DAILY SHORT,XMWH.DE
IQ INTERNATIONAL AG,IQL1.DE
ANHEUSER-BUSCH INBEV SA/NV,1NBA.DE
SNAP INC - A,1SI.DE
DATRON AG,DAR.DE
BLACK PEARL DIGITAL AG,VRL.DE
IAC/INTERACTIVECORP,4LR.DE
AURUBIS AG,NDA.DE
K+S AG-SPONSORED ADR,SDF1.DE
ANDRITZ AG,AZ2.DE
YOC AG,YOC.DE
TAG IMMOBILIEN AG-NEW,TEGA.DE
ADYEN NV,1N8.DE
MATTEL INC,MTT.DE
WW GRAINGER INC,GWW.DE
ARGENTUM SILVER CORP,26A1.DE
FORIS AG,FRS.DE
AUSTRIA TECHNOLOGIE & SYSTEM,AUS.DE
BECTON DICKINSON AND CO,BOX.DE
ISRA VISION AG,ISR.DE
SURYA SEMESTA INTERNUSA PT,5S3.DE
AGRARIUS AG,AU2.DE
OVB HOLDING AG,O4B.DE
KUKA AG,KU2.DE
MASCO CORP,MSQ.DE
ZALANDO SE - UNSPONSORED ADR,ZAL1.DE
MEDIOS AG,ILM1.DE
Q.BEYOND AG,QBY.DE
HARLEY-DAVIDSON INC,HAR.DE
VISA INC-CLASS A SHARES,3V64.DE
WT EM 3X DAILY LVRGD,3E3M.DE
WT S&P 500 3X DAILY SHORT,US9S.DE
MARKETAXESS HOLDINGS INC,MWI.DE
VINCI SA,SQU.DE
MICRON TECHNOLOGY INC,MTE.DE
LAMAR ADVERTISING CO-A,6LA.DE
ACCELL GROUP,AO1B.DE
INTESA SANPAOLO,IES.DE
DR HOENLE AG,HNL.DE
WT S&P 500 3X DLY LEVERAGED,US9L.DE
X IE PHYSICAL PLAT EUR ETC,XPPE.DE
HUBSPOT INC,096.DE
CSX CORP,CXR.DE
HMS BERGBAU AG,HMU.DE
SCOUT24 AG,G24.DE
BNP PAR RICI ENH ALUMINIUM,B4NA.DE
BNP PAR RICI ENH ENERGY,BNQU.DE
HEIDELBERGCEMENT AG,HEI.DE
TRAFFIC SYSTEMS SE,IXX.DE
WT BROAD CMMD - EUR DLY HDG,00XK.DE
